,Date-Time,Lattitude,Longitude,Depth,Mag,Location
0,31 May 2018 - 11:44 PM,04.02,126.50,039,4.7,194 km S 36° E of Sarangani (Davao Occidental)
1,31 May 2018 - 11:27 PM,17.38,121.83,024,2.5,006 km S 67° E of Santo Tomas (Isabela)
2,31 May 2018 - 11:22 PM,06.18,126.35,001,2.7,060 km S 31° E of Governor Generoso (Davao Oriental)
3,31 May 2018 - 11:19 PM,15.07,120.01,018,2.0,007 km N 84° W of San Felipe (Zambales)
4,31 May 2018 - 09:56 PM,12.90,124.33,031,2.1,021 km N 79° E of Barcelona (Sorsogon)
5,31 May 2018 - 08:53 PM,10.07,123.66,025,2.2,005 km S 28° E of Carcar (Cebu)
6,31 May 2018 - 06:46 PM,15.73,121.62,024,2.0,007 km S 63° E of Baler (Aurora)
7,31 May 2018 - 04:29 PM,17.94,120.47,001,2.5,008 km N 09° E of Sinait (Ilocos Sur)
8,31 May 2018 - 10:50 AM,09.85,126.35,023,2.5,023 km N 70° E of General Luna (Surigao Del Norte)
9,31 May 2018 - 08:14 AM,13.98,120.34,009,2.4,028 km S 79° W of Mamburao (Occidental Mindoro)
10,31 May 2018 - 08:05 AM,10.60,125.00,002,2.5,004 km S 77° E of Mahaplag (Leyte)
11,31 May 2018 - 05:05 AM,09.04,125.77,022,2.4,021 km S 84° E of Remedios Romualdez (Agusan Del Norte)
12,31 May 2018 - 03:15 AM,08.19,126.89,032,2.3,056 km N 72° E of Lingig (Surigao Del Sur)
13,31 May 2018 - 02:51 AM,13.67,121.42,019,2.1,023 km N 84° E of Lobo (Batangas)
14,31 May 2018 - 02:29 AM,05.46,124.93,020,2.7,045 km S 12° W of Maasim (Sarangani)
15,31 May 2018 - 02:01 AM,06.31,125.45,060,2.2,031 km N 38° E of Alabel (Sarangani)
16,31 May 2018 - 12:48 AM,17.33,121.83,033,2.4,015 km N 15° W of Ilagan (Isabela)
17,30 May 2018 - 10:55 PM,09.42,123.05,006,2.6,011 km S 39° W of Pamplona (Negros Oriental)
18,30 May 2018 - 10:50 PM,05.47,125.52,022,2.5,007 km N 49° E of Sarangani (Davao Occidental)
19,30 May 2018 - 08:55 PM,20.85,121.85,032,2.1,006 km N 08° E of Itbayat (Batanes)
20,30 May 2018 - 08:31 PM,09.15,126.70,014,3.6,050km N 66° E of Bayabas (Surigao Del Sur)
21,30 May 2018 - 06:46 PM,18.07,120.52,026,4.2,001 km N 06° E of Paoay (Ilocos Norte)
22,30 May 2018 - 06:23 PM,18.05,120.87,066,2.3,011 km S 61° E of Solsona (Ilocos Norte)
23,30 May 2018 - 05:29 PM,14.22,124.25,003,2.4,021 km N 27° E of Pandan (Catanduanes)
24,30 May 2018 - 04:18 PM,10.30,126.08,018,2.8,031 km N 01° E of Burgos (Surigao Del Norte)
25,30 May 2018 - 02:59 PM,08.80,122.09,011,2.7,090 km S 42° W of Basay (Negros Oriental)
26,30 May 2018 - 02:20 PM,11.24,125.71,057,3.0,012 km N 29° E of S (Eastern Samar)
27,30 May 2018 - 01:53 PM,14.00,120.32,060,2.0,027 km N 54° E of Nasugbu (Batangas)
28,30 May 2018 - 11:10 AM,10.11,126.09,013,3.2,011 km N 09° E of Burgos (Surigao Del Norte)
29,30 May 2018 - 10:57 AM,13.94,120.34,075,3.2,026 km N 23° E of Lubang (Occidental Mindoro)
30,30 May 2018 - 10:15 AM,09.14,126.04,128,2.1,010 km S 18° E of Carmen (Surigao Del Sur)
31,30 May 2018 - 06:59 AM,07.57,123.54,009,3.4,023 km S 74° E of Dinas (Zamboanga Del Sur)
32,30 May 2018 - 06:58 AM,06.82,126.19,041,2.4,013 km S 76° E of San Isidro (Davao Oriental)
33,30 May 2018 - 06:35 AM,13.79,120.57,013,2.0,009 km S 55° W of Calatagan (Batangas)
34,30 May 2018 - 03:37 AM,05.29,126.28,112,2.4,091 km S 80° E of Saranggani (Davao Occidental)
35,29 May 2018 - 11:17 PM,04.69,127.91,031,3.5,282 km S 73° E of Saranggani (Davao Occidental)
36,29 May 2018 - 11:05 PM,14.53,119.06,033,2.0,120 km S 67° W of San Antonio (Zambales)
37,29 May 2018 - 10:49 PM,13.71,120.43,036,2.6,020 km S 85° E of Looc (Occidental Mindoro)
38,29 May 2018 - 08:54 PM,10.21,125.99,026,2.2,022 km N 14° W of Santa Monica (Sapao) (Surigao Del Norte)
39,29 May 2018 - 08:49 PM,19.40,120.41,076,3.2,102 km N 14° W of Burgos (Ilocos Norte)
40,29 May 2018 - 08:18 PM,07.62,125.33,006,3.0,028 km S 62° E of Quezon (Bukidnon)
41,29 May 2018 - 04:45 PM,09.43,126.36,002,2.7,026 km N 48° E of Cortes (Surigao Del Sur)
42,29 May 2018 - 11:24 AM,10.69,125.23,154,3.4,019 km N 24° E of Silago (Southern Leyte)
43,29 May 2018 - 06:36 AM,13.56,120.74,125,2.3,013 km N 03° E of Abra de Ilog (Occidental Mindoro)
44,29 May 2018 - 06:24 AM,16.19,122.08,040,2.0,011 km S 27° W of Casiguran (Aurora)
45,29 May 2018 - 01:48 AM,11.51,124.40,005,2.4,006 km S 03° E of Naval (Biliran)
46,29 May 2018 - 01:11 AM,15.04,119.91,019,2.9,018  km S 81° W of San Felipe (Zambales)
47,28 May 2018 - 10:54 PM,18.99,121.76,003,2.0,045  km S 44° E of Calayan (Cagayan)
48,28 May 2018 - 10:44 PM,10.67,125.33,003,2.7,025  km N 50° E of Silago (Southern Leyte)
49,28 May 2018 - 10:41 PM,08.87,126.64,016,2.3,038  km S 81° E of Cagwait  (Surigao Del Sur)
50,28 May 2018 - 09:38 PM,13.58,121.17,023,2.1,009  km S 32° W of Lobo (Batangas)
51,28 May 2018 - 08:06 PM,08.69,126.78,025,2.5,055  km S 77° E of Marihatag (Surigao del Sur)
52,28 May 2018 - 06:14 PM,05.95,125.58,041,3.1,008  km N 32° W of Jose Abad Santos (Davao Occidental)
53,28 May 2018 - 06:09 PM,05.27,126.47,041,2.6,112 km S 80° E of Sarangani (Davao Occidental)
54,28 May 2018 - 05:49 PM,06.02,126.12,096,2.8,058 km N 75° E of Jose Abad Santos (Davao Occidental)
55,28 May 2018 - 04:57 PM,15.96 ,120.10,029,2.1,012 km S 05° E of Sual (Pangasinan)
56,28 May 2018 - 01:57 PM,15.06,119.96,019,2.1,012 km S 88° W of San Felipe (Zambales)
57,28 May 2018 - 01:05 PM,06.74,125.90,021,2.5,021 km S 35° W of Lupon (Davao Oriental)
58,28 May 2018 - 10:42 AM,05.30,126.50,060,3.1,115 km S 82° E of Saranggani (Davao Occidental)
59,28 May 2018 - 09:06 AM,07.01,125.35,033,1.8,026 km N 04° W of Digos City (Davao Del Sur)
60,28 May 2018 - 06:12 AM,11.11,124.68,003,3.0,014 km N 32° E of Ormoc City (Leyte)
61,28 May 2018 - 04:03 AM,17.37,120.18,021,2.5,028 km N 81° W of San Esteban (Ilocos Sur)
62,28 May 2018 - 03:36 AM,10.92,124.23,026,2.7,022 km S 83° E of Tabogon (Cebu)
63,28 May 2018 - 12:00 AM,19.08,121.26,013,3.0,031 km S 44° W of Calayan (Cagayan)
64,27 May 2018 - 11:17 PM,19.17,121.27,030,2.4,024 km S 60° W of Calayan (Cagayan)
65,27 May 2018 - 11:06 PM,06.28,126.22,117,2.7,044 km S 21° E of Governor Generoso (Davao Oriental)
66,27 May 2018 - 10:40 PM,10.90,125.62,039,4.0,019 km S 38° W of Guiuan (Eastern Samar)
67,27 May 2018 - 07:45 PM,10.28,126.02,031,2.6,027 km N 07° W of Santa Monica (Sapao) (Surigao Del Norte)
68,27 May 2018 - 07:38 PM,20.12,121.50,024,2.9,046 km S 58° W of Sabtang (Batanes)
69,27 May 2018 - 05:37 PM,13.65,120.98,033,2.1,012 km S 23° E of Mabini (Batangas)
70,27 May 2018 - 04:09 PM,08.85,122.92,020,2.4,040 km N 27° W of Manukan (Zamboanga del Norte)
71,27 May 2018 - 11:36 AM,11.49,125.90,025,2.9,015 km N 60° E of Hernani (Eastern Samar)
72,27 May 2018 - 11:25 AM,15.71,119.98,002,1.9,009 km S 51° E of Santa Cruz(Zambales)
73,27 May 2018 - 10:20 AM,11.26,124.61,003,3.7,005 km S 40° W of Capoocan (Leyte)
74,27 May 2018 - 10:06 AM,20.14,121.17,059,2.0,027 km S 39° W of Sabtang (Batanes)
75,27 May 2018 - 07:40 AM,13.04,124.59,002,3.0,043 km S 88° E of Prieto Diaz (Sorsogon)
76,27 May 2018 - 04:31 AM,06.80,124.10,001,2.3,002 km S 03° E of South Upi (Maguindanao)
77,27 May 2018 - 04:00 AM,08.85,125.78,006,2.7,009 km N 68° E of Sibagat (Agusan Del Sur)
78,27 May 2018 - 03:30 AM,04.94,125.80,117,2.7,065 km S 34° E of Sarangani (Davao Occidental)
79,27 May 2018 - 01:21 AM,13.85,120.54,187,2.0,010 km N 78° W of Calatagan (Batangas)
80,26 May 2018 - 11:12 PM,20.20,121.39,027,2.3,052 km S 73° W of Sabtang (Batanes)
81,26 May 2018 - 10:35 PM,10.97,124.67,009,2.4,007 km N 26° W of Albuera (Leyte)
82,26 May 2018 - 10:19 PM,09.73,126.04,010,2.8,003 km S 25° W of Dapa (Dinagat)
83,26 May 2018 - 08:36 PM,16.29,122.23,014,2.4,015 km N 83° E of Casiguran (Aurora)
84,26 May 2018 - 08:27 PM,06.15,125.36,064,4.2,012 km N 54° E of Alabel (Sarangani)
85,26 May 2018 - 08:26 PM,16.13,122.02,016,2.1,006 km S 82° E of Dinalungan (Aurora)
86,26 May 2018 - 07:55 PM,18.35,120.70,032,2.1,009 km N 79° E of Pasuquin (Ilocos Norte)
87,26 May 2018 - 02:42 PM,19.10,121.19,027,2.5,035 km S 55° W of Calayan (Cagayan)
88,26 May 2018 - 11:25 AM,18.47,120.93,014,2.5,002 km N 59° E of Adams (Ilocos Norte)
89,26 May 2018 - 10:43 AM,08.99,126.26,042,2.1,004 km N 55° W of Bayabas (Surigao Del Sur)
90,26 May 2018 - 09:50 AM,09.96,126.30,024,2.1,023 km N 83° E of San Isidro (Surigao Del Norte)
91,26 May 2018 - 09:49 AM,09.83,126.20,020,2.0,011 km S 69° E of Pilar (Surigao Del Norte)
92,26 May 2018 - 08:57 AM,09.96,126.27,008,3.4,021 km N 61° E of Pilar (Surigao Del Norte)
93,26 May 2018 - 08:44 AM,11.65,125.88,018,2.6,046 km N 38° E of Hernani (Eastern Samar)
94,26 May 2018 - 03:19 AM,09.51,123.26,009,2.6,023 km N 05° W of Dumaguete City
95,26 May 2018 - 12:44 AM,13.745,120.57,066,2.0,012 km S 34° W of Calatagan (Batangas)
96,26 May 2018 - 12:10 AM,09.20,126.62,005,3.1,039 km N 68° E of Bayabas (Surigao del Sur)
97,25 May 2018 - 11:23 PM,15.108,119.12,021,3.6,093 km S 65° W of Palauig (Zambales)
98,25 May 2018 - 11:15 PM,19.73,121.67,027,3.4,054 km N 24° E of Calayan (Cagayan)
99,25 May 2018 - 09:57 PM,13.64,120.62,185,2.6,027 km S 85° W of Tingloy (Batangas)
100,25 May 2018 - 07:57 PM,05.64,126.31,001,2.8,081 km S 71° E of Jose Abad Santos (Davao Occidental)
101,25 May 2018 - 07:38 PM,14.85,119.84,033,2.1,029 km S 69° W of San Antonio (Zambales)
102,25 May 2018 - 09:08 AM,05.46,126.21,082,3.6,082 km N 88° E of Sarangani (Davao Occidental)
103,25 May 2018 - 08:47 AM,16.15,119.84,024,3.7,005 km S 34° W of Bani (Pangasinan)
104,25 May 2018 - 06:53 AM,09.61,126.19,033,2.5,020 km S 10° E of General Luna (Surigao Del Norte)
105,25 May 2018 - 01:48 AM,06.83,125.70,018,2.6,027 km S 22° E of Davao City (Davao Del Sur)
106,24 May 2018 - 11:16 PM,18.12,120.45,013,3.0,012 km N 16° W of Currimao (Ilocos Norte)
107,24 May 2018 - 11:05 PM,11.96,124.06,002,3.3,008 km N 22° E of Pio V. Corpuz (Limbuhan)(Masbate)
108,24 May 2018 - 10:27 PM,08.24,124.44,031,2.3,023 km S 61° E of Lugait (Misamis Oriental)
109,24 May 2018 - 10:15 PM,11.99,124.16,027,2.9,031 km N 41° W of Maripipi (Biliran)
110,24 May 2018 - 09:06 PM,10.14,126.18,017,2.6,018 km N 40° E of Burgos (Surigao Del Norte)
111,24 May 2018 - 07:47 PM,08.50,125.74,061,2.9,008 km N 41° W of Talacogon (Agusan Del Sur)
112,24 May 2018 - 05:53 PM,08.47,125.74,060,3.5,005 km N 63° W of Talacogon (Agusan Del Sur)
113,24 May 2018 - 05:07 PM,12.93,124.64,023,2.0,006 km N 47° E of Biri (Northern Samar)
114,24 May 2018 - 03:56 PM,09.82,124.00,030,2.3,008 km N 24° E of Balilihan (Bohol)
115,24 May 2018 - 03:12 PM,10.94,124.83,017,2.4,015 km N 82° W of Albuera (Leyte)
116,24 May 2018 - 11:19 AM,12.29,120.39,024,2.2,054 km N 76° E of Busuanga (Palawan)
117,24 May 2018 - 07:31 AM,15.16,119.98,024,2.2,008 km N 88° W of Cabangan (Zambales)
118,24 May 2018 - 07:05 AM,09.67,122.34,077,2.5,013 km S 38° W of Sipalay (Negros Occidental)
119,24 May 2018 - 06:40 AM,15.16,119.90,029,2.1,017 km N 89° W of Cabangan (Zambales)
120,24 May 2018 - 01:18 AM,07.21,123.44,038,2.5,027 km S 06° E of Tabina (Zamboanga Del Sur)
121,23 May 2018 - 11:08 PM,13.39,120.08,022,2.0,041 km S 26° W of Looc (Occidental Mindoro)
122,23 May 2018 - 09:11 PM,13.23,120.46,001,2.3,014 km N 89° W of Mamburao (Occidental Mindoro)
123,23 May 2018 - 07:01 PM,13.61,120.50,118,2.0,022 km N 08° E of Paluan (Occidental Mindoro)
124,23 May 2018 - 04:58 PM,09.92,126.10,003,2.7,011 km S 15° E of Burgos (Surigao Del Norte)
125,23 May 2018 - 04:52 PM,14.32,124.36,001,2.4,037 km N 34° E of Pandan (Catanduanes)
126,23 May 2018 - 02:03 PM,08.94,124.11,017,2.3,050 km N 41° W of Gitagum (Misamis Oriental)
127,23 May 2018 - 01:30 PM,05.96,126.26,130,2.6,068 km S 68° E of Don Marcelino (Davao Occidental)
128,23 May 2018 - 12:22 PM,13.36,124.89,007,2.0,066 km S 59° E of Baras (Catanduanes)
129,23 May 2018 - 10:14 AM,06.08,125.84,114,3.1,021 km S 50° E of Don Marcelino (Davao Occidental)
130,23 May 2018 - 10:02 AM,15.64,119.91,023,2.0,003 km N 46° W of Candelaria (Zambales)
131,23 May 2018 - 08:36 AM,07.17,125.57,028,2.6,012 km N 22° W of Davao City (Davao Del Sur)
132,23 May 2018 - 06:57 AM,14.31,124.32,001,2.8,034 km N 30° E of Pandan (Catanduanes)
133,23 May 2018 - 02:30 AM,11.11,124.62,021,2.3,012 km N 04° W of Ormoc City (Leyte)
134,22 May 2018 - 10:54 PM,12.41,120.67,031,2.7,034 km S 81° W of Rizal (Occidental Mindoro)
135,22 May 2018 - 10:04 PM,13.18,121.12,018,3.5,018 km S 84° W of Victoria (Oriental Mindoro)
136,22 May 2018 - 08:55 PM,05.18,126.27,076,3.4,092 km S 72° E of Sarangani (Davao Occidental)
137,22 May 2018 - 05:52 PM,10.09,126.07,011,3.0,009 km N 24° E of Santa Monica (Sapao) (Surigao Del Norte)
138,22 May 2018 - 05:03 PM,09.87,124.42,035,2.3,010 km N 67° E of Pilar (Bohol)
139,22 May 2018 - 12:30 PM,12.38,123.68,011,2.3,011 km S 65° W of Batuan (Masbate)
140,22 May 2018 - 10:53 AM,14.54,124.08,006,2.1,055 km N 10° W of Pandan (Catanduanes)
141,22 May 2018 - 10:16 AM,07.15,125.27,073,2.4,015 km S 61° E of Arakan (North Cotabato)
142,22 May 2018 - 08:04 AM,05.54,126.94,004,2.6,152 km S 75° E of Jose Abad Santos (Davao Occidental)
143,22 May 2018 - 07:55 AM,15.38,120.52,132,2.2,008 km S 39° W of San Jose (Tarlac)
144,22 May 2018 - 07:31 AM,07.14,125.71,001,2.1,002 km N 52° E of Babak (Davao Del Norte)
145,22 May 2018 - 06:38 AM,17.14,121.51,018,2.3,011 km N 79° W of Roxas (Isabela)
146,22 May 2018 - 06:12 AM,10.17,125.65,029,1.9,013 km S 79° E of Libjo (Albor) (Surigao del Norte)
147,22 May 2018 - 04:51 AM,11.82,124.15,003,2.3,014 km N 43° E of Esperanza (Masbate)
148,22 May 2018 - 03:46 AM,13.89,120.84,034,1.8,005 km S 26° E of Calaca (Batangas)
149,22 May 2018 - 03:19 AM,20.13,120.92,132,2.4,102 km S 77° W of Sabtang (Batanes)
150,22 May 2018 - 02:26 AM,15.68,119.79,031,2.1,016 km N 69° W of Candelaria (Zambales)
151,22 May 2018 - 02:19 AM,13.65,120.98,018,1.7,012 km S 23° E of Mabini (Batangas)
152,22 May 2018 - 01:38 AM,16.59,119.94,057,2.0,023 km N 12° E of Bolinao (Pangasinan)
153,22 May 2018 - 01:00 AM,10.51,122.29,001,2.8,016 km S 21° E of Miagao (Iloilo)
154,22 May 2018 - 12:37 AM,17.23,120.03,022,2.5,045 km N 85° W of Candon City (Ilocos Sur)
155,22 May 2018 - 12:24 AM,06.67,126.87,020,3.2,063 km S 49° E of Tarragona (Davao Oriental)
156,21 May 2018 - 11:59 PM,06.63,126.93,024,4.3,078 km S 34° E of Manay (Davao Oriental)
157,21 May 2018 - 10:44 PM,06.27,126.22,027,2.8,029 km S 01° E of Governor Generoso (Davao Oriental)
158,21 May 2018 - 08:18 PM,17.26,120.03,015,3.4,045 km N 80° W of Candon City (Ilocos Sur)
159,21 May 2018 - 03:50 PM,08.10,126.19,009,2.9,033 km S 27° W of Hinatuan (Surigao Del Sur)
160,21 May 2018 - 02:47 PM,13.41,121.53,027,2.4,027 km n 69° E of Naujan (Oriental Mindoro)
161,21 May 2018 - 08:55 AM,09.29,126.51,011,2.8,035 km N 88° E of Cortes (Surigao Del Sur)
162,21 May 2018 - 07:41 AM,14.68,119.01,028,2.0,120 km S 76° W of San Antonio (Zambales)
163,21 May 2018 - 06:26 AM,09.93,126.12,14,3.5,004 km S 79° E of San Isidro (Surigao Del Norte)
164,21 May 2018 - 05:48 AM,09.95,126.11,012,3.0,003 km N 60° E of San Isidro (Surigao Del Norte)
165,21 May 2018 - 05:27 AM,10.42,125.18,001,2.2,018 km N 30° W of Anahawan (Southern Leyte)
166,21 May 2018 - 04:37 AM,13.67,120.85,029,2.2,003 km N 58° W of Tingloy (Batangas)
167,21 May 2018 - 04:11 AM,13.52,120.28,031,1.7,024 km N 59° W of Paluan (Occidental Mindoro)
168,21 May 2018 - 03:08 AM,13.77,120.57,091,1.5,009 km S 46° W of Calatagan (Batangas)
169,21 May 2018 - 02:38 AM,06.90,126.30,031,3.1,011 km S 56° E of Mati (Davao Oriental)
170,21 May 2018 - 01:21 AM,06.59,125.74,139,2.9,024 km N 35° E of Malita (Davao Occidental)
171,21 May 2018 - 01:14 AM,09.25,120.00,029,2.4,004 km S 72 °E of Madrid (Surigao del Sur)
172,20 May 2018 - 11:13 PM,10.43,126.04,011,2.5,045 km North 00° of Santa Monica (Sapao) (Surigao del Norte)
173,20 May 2018 - 11:04 PM,05.44,124.94,018,2.2,047 km S 09° W of Maasim (Sarangani)
174,20 May 2018 - 09:18 PM,08.41,125.99,140,2.6,004 km N 21° W of Rosario (Agusan Del Sur)
175,20May 2018 - 09:07 PM,05.76,126.37,0667,3.5,085 km S 81° E of Jose Abad Santos (Davao Occidental)
176,20 May 2018 - 08:54 PM,14.36,123.51,047,2.9,048 km N 35° E of Siruma (Camarines Sur)
177,20 May 2018 - 08:22 PM,13.68,120.61,114,2.6,017 km S 08° W of Calatagan (Batangas)
178,20 May 2018 - 03:28 PM,05.61,127.31,077,3.4,178 km S 50° E of Governor Generoso (Davao Oriental)
179,20 May 2018 - 01:53 PM,09.92,124.19,030,2.2,005 km S 46° W of Danao (Bohol)
180,20 May 2018 - 01:17 PM,12.69,123.23,007,2.5,023 km S 05° W of Claveria (Masbate)
181,20 May 2018 - 12:13 PM,16.55,120.51,001,2.4,007 km N 64° E of Burgos (La Union)
182,20 May 2018 - 11:27 AM,09.79,126.54,011,3.1,042 km N 89° E of General Luna (Surigao Del Norte)
183,20 May 2018 - 10:50 AM,07.69,124.78,016,3.1,006 km N 33° E of Wao (Lanao Del Sur)
184,20 May 2018 - 10:21 AM,07.65,124.80,009,4.2,005 km N 85° E of Wao (Lanao Del Sur)
185,20 May 2018 - 08:42 AM,14.46,120.34,069,2.1,032 km N 74° W of Nasugbu (Batangas)
186,20 May 2018 - 08:20 AM,07.71,124.78,001,2.8,008 km N 25° E of Wao (Lanao Del Sur)
187,20 May 2018 - 04:40 AM,14.27,120.25,066,2.1,031 km S 54° W of Mariveles (Bataan)
188,20 May 2018 - 02:25 AM,08.94,123.01,016,1.8,015 km S 10° W of Siaton (Negros Oriental)
189,20 May 2018 - 01:51 AM,14.53,123.94,001,2.0,059 km N 24° W of Pandan (Catanduanes)
190,20 May 2018 - 01:32 AM,13.69,120.63,101,2.8,015 km S 03° E of Calatagan (Batangas)
191,20 May 2018 - 01:27 AM,15.67,121.69,017,2.0,017 km S 54° E of Baler (Aurora)
192,19 May 2018 - 11:28 PM,13.69,120.60,114,1.9,016 km S 12° W of Calatagan (Batangas)
193,19 May 2018 - 07:02 PM,20.46,122.33,060,2.2,038 km N 89° E of Basco (Batanes)
194,19 May 2018 - 04:41 PM,10.97,126.34,001,3.0,068 km S 84° E of Guiuan (Eastern Samar)
195,19 May 2018 - 02:40 PM,10.71,125.51,088,2.0,040 km N 10° W of Loreto (Dinagat)
196,19 May 2018 - 01:02 PM,07.93,121.52,046,3.2,070 km N 79° W of Baliguian (Zamboanga Del Norte)
197,19 May 2018 - 10:10 AM,17.25,119.98,017,2.7,050 km N 83° W of Candon City (Ilocos Sur)
198,19 May 2018 - 09:43 AM,11.26,126.46,018,3.2,084 km N 73° E of Guiuan (Eastern Samar)
199,19 May 2018 - 05:43 AM,14.94,120.21,172,2.1,007 km S 57° E of San Marcelino (Zambales)
